GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073010013,06073010013,"Census Tract 100.13, San Diego County, California",259700,56103
1400000US06073010014,06073010014,"Census Tract 100.14, San Diego County, California",411400,19647
1400000US06073010015,06073010015,"Census Tract 100.15, San Diego County, California",398800,25038
1400000US06073010103,06073010103,"Census Tract 101.03, San Diego County, California",204200,131891
1400000US06073010104,06073010104,"Census Tract 101.04, San Diego County, California",299400,22800
1400000US06073010106,06073010106,"Census Tract 101.06, San Diego County, California",172900,38071
1400000US06073010107,06073010107,"Census Tract 101.07, San Diego County, California",228600,38758
1400000US06073010109,06073010109,"Census Tract 101.09, San Diego County, California",293900,21943
1400000US06073010110,06073010110,"Census Tract 101.10, San Diego County, California",275200,20764
1400000US06073010111,06073010111,"Census Tract 101.11, San Diego County, California",288900,32312
1400000US06073010112,06073010112,"Census Tract 101.12, San Diego County, California",134700,13730
1400000US06073010200,06073010200,"Census Tract 102, San Diego County, California",388000,31916
1400000US06073010300,06073010300,"Census Tract 103, San Diego County, California",358600,18604
1400000US06073010401,06073010401,"Census Tract 104.01, San Diego County, California",265200,39109
1400000US06073010402,06073010402,"Census Tract 104.02, San Diego County, California",337500,52925
1400000US06073010501,06073010501,"Census Tract 105.01, San Diego County, California",357400,43133
1400000US06073010502,06073010502,"Census Tract 105.02, San Diego County, California",319600,69169
1400000US06073010601,06073010601,"Census Tract 106.01, San Diego County, California",965000,43361
1400000US06073010800,06073010800,"Census Tract 108, San Diego County, California",993900,363265
1400000US06073010900,06073010900,"Census Tract 109, San Diego County, California",1645200,111624
1400000US06073011000,06073011000,"Census Tract 110, San Diego County, California",1354700,314872
1400000US06073011100,06073011100,"Census Tract 111, San Diego County, California",1254100,113697
1400000US06073011300,06073011300,"Census Tract 113, San Diego County, California",,
1400000US06073011601,06073011601,"Census Tract 116.01, San Diego County, California",257100,48957
1400000US06073011602,06073011602,"Census Tract 116.02, San Diego County, California",243100,39300
1400000US06073011700,06073011700,"Census Tract 117, San Diego County, California",288800,73139
1400000US06073011801,06073011801,"Census Tract 118.01, San Diego County, California",254300,45100
1400000US06073011802,06073011802,"Census Tract 118.02, San Diego County, California",263300,66874
1400000US06073011902,06073011902,"Census Tract 119.02, San Diego County, California",305100,19504
1400000US06073012002,06073012002,"Census Tract 120.02, San Diego County, California",307700,31404
1400000US06073012003,06073012003,"Census Tract 120.03, San Diego County, California",314400,30794
1400000US06073012101,06073012101,"Census Tract 121.01, San Diego County, California",374000,37083
1400000US06073012102,06073012102,"Census Tract 121.02, San Diego County, California",256400,24714
1400000US06073012200,06073012200,"Census Tract 122, San Diego County, California",266800,29409
