"long","lat","order","hole","piece","id","group"
-117.168167,32.753773,1825860,FALSE,"1","06073000201","06073000201.1"
-117.168152,32.753574,1825861,FALSE,"1","06073000201","06073000201.1"
-117.168107,32.752981,1825862,FALSE,"1","06073000201","06073000201.1"
-117.168092,32.752783,1825863,FALSE,"1","06073000201","06073000201.1"
-117.168094,32.752588,1825864,FALSE,"1","06073000201","06073000201.1"
-117.168104,32.752004,1825865,FALSE,"1","06073000201","06073000201.1"
-117.168108,32.75181,1825866,FALSE,"1","06073000201","06073000201.1"
-117.168105,32.751621,1825867,FALSE,"1","06073000201","06073000201.1"
-117.168104,32.751511,1825868,FALSE,"1","06073000201","06073000201.1"
-117.168162,32.751061,1825869,FALSE,"1","06073000201","06073000201.1"
-117.168187,32.750876,1825870,FALSE,"1","06073000201","06073000201.1"
-117.168277,32.750875,1825871,FALSE,"1","06073000201","06073000201.1"
-117.168548,32.750873,1825872,FALSE,"1","06073000201","06073000201.1"
-117.168639,32.750873,1825873,FALSE,"1","06073000201","06073000201.1"
-117.168675,32.75087,1825874,FALSE,"1","06073000201","06073000201.1"
-117.168672,32.750697,1825875,FALSE,"1","06073000201","06073000201.1"
-117.168663,32.750072,1825876,FALSE,"1","06073000201","06073000201.1"
-117.168661,32.749864,1825877,FALSE,"1","06073000201","06073000201.1"
-117.168839,32.749861,1825878,FALSE,"1","06073000201","06073000201.1"
-117.169376,32.749854,1825879,FALSE,"1","06073000201","06073000201.1"
-117.169556,32.749852,1825880,FALSE,"1","06073000201","06073000201.1"
-117.169736,32.749848,1825881,FALSE,"1","06073000201","06073000201.1"
-117.170279,32.749841,1825882,FALSE,"1","06073000201","06073000201.1"
-117.17046,32.74984,1825883,FALSE,"1","06073000201","06073000201.1"
-117.170643,32.74984,1825884,FALSE,"1","06073000201","06073000201.1"
-117.171193,32.749843,1825885,FALSE,"1","06073000201","06073000201.1"
-117.171377,32.749844,1825886,FALSE,"1","06073000201","06073000201.1"
-117.171561,32.749839,1825887,FALSE,"1","06073000201","06073000201.1"
-117.172112,32.749823,1825888,FALSE,"1","06073000201","06073000201.1"
-117.172283,32.749821,1825889,FALSE,"1","06073000201","06073000201.1"
-117.1723,32.749819,1825890,FALSE,"1","06073000201","06073000201.1"
-117.172698,32.749817,1825891,FALSE,"1","06073000201","06073000201.1"
-117.173073,32.749864,1825892,FALSE,"1","06073000201","06073000201.1"
-117.173199,32.74988,1825893,FALSE,"1","06073000201","06073000201.1"
-117.173384,32.749879,1825894,FALSE,"1","06073000201","06073000201.1"
-117.17394,32.749878,1825895,FALSE,"1","06073000201","06073000201.1"
-117.174126,32.749878,1825896,FALSE,"1","06073000201","06073000201.1"
-117.174302,32.749876,1825897,FALSE,"1","06073000201","06073000201.1"
-117.17483,32.749874,1825898,FALSE,"1","06073000201","06073000201.1"
-117.175007,32.749874,1825899,FALSE,"1","06073000201","06073000201.1"
-117.175191,32.749873,1825900,FALSE,"1","06073000201","06073000201.1"
-117.175746,32.749873,1825901,FALSE,"1","06073000201","06073000201.1"
-117.175931,32.749873,1825902,FALSE,"1","06073000201","06073000201.1"
-117.176107,32.749872,1825903,FALSE,"1","06073000201","06073000201.1"
-117.176635,32.749872,1825904,FALSE,"1","06073000201","06073000201.1"
-117.176812,32.749872,1825905,FALSE,"1","06073000201","06073000201.1"
-117.176812,32.749972,1825906,FALSE,"1","06073000201","06073000201.1"
-117.176815,32.750273,1825907,FALSE,"1","06073000201","06073000201.1"
-117.176816,32.750374,1825908,FALSE,"1","06073000201","06073000201.1"
-117.177148,32.75038,1825909,FALSE,"1","06073000201","06073000201.1"
-117.178144,32.750404,1825910,FALSE,"1","06073000201","06073000201.1"
-117.178477,32.750412,1825911,FALSE,"1","06073000201","06073000201.1"
-117.178479,32.750493,1825912,FALSE,"1","06073000201","06073000201.1"
-117.178488,32.750739,1825913,FALSE,"1","06073000201","06073000201.1"
-117.178491,32.750821,1825914,FALSE,"1","06073000201","06073000201.1"
-117.178491,32.751005,1825915,FALSE,"1","06073000201","06073000201.1"
-117.178492,32.751269,1825916,FALSE,"1","06073000201","06073000201.1"
-117.178495,32.751559,1825917,FALSE,"1","06073000201","06073000201.1"
-117.178497,32.751745,1825918,FALSE,"1","06073000201","06073000201.1"
-117.178497,32.751947,1825919,FALSE,"1","06073000201","06073000201.1"
-117.178499,32.752267,1825920,FALSE,"1","06073000201","06073000201.1"
-117.178502,32.752553,1825921,FALSE,"1","06073000201","06073000201.1"
-117.178505,32.752756,1825922,FALSE,"1","06073000201","06073000201.1"
-117.178506,32.752944,1825923,FALSE,"1","06073000201","06073000201.1"
-117.178509,32.753514,1825924,FALSE,"1","06073000201","06073000201.1"
-117.178511,32.753704,1825925,FALSE,"1","06073000201","06073000201.1"
-117.17851,32.753785,1825926,FALSE,"1","06073000201","06073000201.1"
-117.178509,32.754029,1825927,FALSE,"1","06073000201","06073000201.1"
-117.178509,32.754111,1825928,FALSE,"1","06073000201","06073000201.1"
-117.17866,32.75481,1825929,FALSE,"1","06073000201","06073000201.1"
-117.178807,32.755484,1825930,FALSE,"1","06073000201","06073000201.1"
-117.178865,32.755749,1825931,FALSE,"1","06073000201","06073000201.1"
-117.178865,32.756546,1825932,FALSE,"1","06073000201","06073000201.1"
-117.178865,32.756867,1825933,FALSE,"1","06073000201","06073000201.1"
-117.178865,32.756934,1825934,FALSE,"1","06073000201","06073000201.1"
-117.178866,32.757093,1825935,FALSE,"1","06073000201","06073000201.1"
-117.178867,32.75765,1825936,FALSE,"1","06073000201","06073000201.1"
-117.184043,32.74571,1825937,FALSE,"1","06073000202","06073000202.1"
-117.183827,32.74608,1825938,FALSE,"1","06073000202","06073000202.1"
-117.183755,32.746204,1825939,FALSE,"1","06073000202","06073000202.1"
-117.183737,32.746232,1825940,FALSE,"1","06073000202","06073000202.1"
-117.183684,32.746319,1825941,FALSE,"1","06073000202","06073000202.1"
-117.183667,32.74635,1825942,FALSE,"1","06073000202","06073000202.1"
-117.183634,32.746408,1825943,FALSE,"1","06073000202","06073000202.1"
-117.183537,32.746581,1825944,FALSE,"1","06073000202","06073000202.1"
-117.183505,32.746641,1825945,FALSE,"1","06073000202","06073000202.1"
-117.183469,32.746671,1825946,FALSE,"1","06073000202","06073000202.1"
-117.183361,32.746764,1825947,FALSE,"1","06073000202","06073000202.1"
-117.183326,32.746796,1825948,FALSE,"1","06073000202","06073000202.1"
-117.183213,32.746893,1825949,FALSE,"1","06073000202","06073000202.1"
-117.182875,32.747185,1825950,FALSE,"1","06073000202","06073000202.1"
-117.182763,32.747283,1825951,FALSE,"1","06073000202","06073000202.1"
-117.182729,32.747312,1825952,FALSE,"1","06073000202","06073000202.1"
-117.18263,32.747397,1825953,FALSE,"1","06073000202","06073000202.1"
-117.182597,32.747428,1825954,FALSE,"1","06073000202","06073000202.1"
-117.182519,32.747504,1825955,FALSE,"1","06073000202","06073000202.1"
-117.182284,32.747734,1825956,FALSE,"1","06073000202","06073000202.1"
-117.182207,32.747811,1825957,FALSE,"1","06073000202","06073000202.1"
-117.182187,32.74783,1825958,FALSE,"1","06073000202","06073000202.1"
-117.182175,32.747843,1825959,FALSE,"1","06073000202","06073000202.1"
-117.182137,32.747895,1825960,FALSE,"1","06073000202","06073000202.1"
-117.182121,32.747919,1825961,FALSE,"1","06073000202","06073000202.1"
-117.181975,32.748088,1825962,FALSE,"1","06073000202","06073000202.1"
-117.18174,32.748361,1825963,FALSE,"1","06073000202","06073000202.1"
-117.181493,32.748548,1825964,FALSE,"1","06073000202","06073000202.1"
-117.181316,32.748684,1825965,FALSE,"1","06073000202","06073000202.1"
-117.181146,32.748854,1825966,FALSE,"1","06073000202","06073000202.1"
-117.180638,32.749367,1825967,FALSE,"1","06073000202","06073000202.1"
-117.18047,32.749539,1825968,FALSE,"1","06073000202","06073000202.1"
-117.180123,32.749817,1825969,FALSE,"1","06073000202","06073000202.1"
-117.179828,32.750055,1825970,FALSE,"1","06073000202","06073000202.1"
-117.178906,32.750298,1825971,FALSE,"1","06073000202","06073000202.1"
